Indicator,Variable,Coef,StdError,t,P,R2_test,RMSE_test,N_test
Fossil Depletion Potential - FDP,SSO_LCI,-0.018433647395864942,6.754658259198723e-5,-272.9027389470278,0.0,0.9999958306606838,0.04628078250329957,66
Fossil Depletion Potential - FDP,AE,-0.13003717128937917,0.00021164330172980875,-614.4166634453151,0.0,0.9999958306606838,0.04628078250329957,66
Fossil Depletion Potential - FDP,AH,-0.026075833956161212,0.00012756184688987417,-204.41718736381125,0.0,0.9999958306606838,0.04628078250329957,66
Fossil Depletion Potential - FDP,CH4,-0.0023074381216061013,0.11934616993681997,-0.019333993900496543,0.984582039337499,0.9999958306606838,0.04628078250329957,66
Fossil Depletion Potential - FDP,ng_LCI,0.028635917434503298,2.4529240505600277e-6,11674.196528003149,0.0,0.9999958306606838,0.04628078250329957,66
Fossil Depletion Potential - FDP,building,0.0,NaN,NaN,NaN,0.9999958306606838,0.04628078250329957,66
Water Use,(Intercept),0.003342930235376021,0.00026833900079043166,12.457861978798952,2.230402343705052e-31,0.9999785948747844,0.0006243866011068083,66
Water Use,SSO_LCI,0.0006207130467433607,9.112892675725083e-7,681.1372292321796,0.0,0.9999785948747844,0.0006243866011068083,66
Water Use,AE,-0.0014300503878898181,2.8553371912980234e-6,-500.83415445575577,0.0,0.9999785948747844,0.0006243866011068083,66
Water Use,AH,3.0637692082456365e-5,1.720971477190019e-6,17.802556572570982,8.938223782958082e-56,0.9999785948747844,0.0006243866011068083,66
Water Use,CH4,-3.112572552501434e-5,0.0016101315509366775,-0.01933116924943634,0.9845842915841803,0.9999785948747844,0.0006243866011068083,66
Water Use,ng_LCI,4.016897902073182e-6,3.309306371498067e-8,121.38186831746255,0.0,0.9999785948747844,0.0006243866011068083,66
Water Use,building,0.0,NaN,NaN,NaN,0.9999785948747844,0.0006243866011068083,66
Global Climate Change Potential - GCCP,(Intercept),0.8081678539605035,0.06494145313904892,12.444560675753602,2.536389213733187e-31,0.999992079864437,0.15110950195579428,66
Global Climate Change Potential - GCCP,SSO_LCI,-0.0944790344661472,0.0002205436000426834,-428.39163978397914,0.0,0.999992079864437,0.15110950195579428,66
Global Climate Change Potential - GCCP,AE,-0.40064806188064034,0.0006910279380136834,-579.7856205818221,0.0,0.999992079864437,0.15110950195579428,66
Global Climate Change Potential - GCCP,AH,-0.06057359920587486,0.00041649699898398297,-145.43585993090028,0.0,0.999992079864437,0.15110950195579428,66
Global Climate Change Potential - GCCP,CH4,24.99246617890062,0.3896723262546594,64.13713393279947,5.572379695081681e-250,0.999992079864437,0.15110950195579428,66
Global Climate Change Potential - GCCP,ng_LCI,0.0689577718022144,8.0089425694493e-6,8610.096926560427,0.0,0.999992079864437,0.15110950195579428,66
Global Climate Change Potential - GCCP,building,0.0,NaN,NaN,NaN,0.999992079864437,0.15110950195579428,66
Acidification Potential - AP,(Intercept),0.001747662849551659,0.00014022925555997088,12.462897578488876,2.124407659670566e-31,0.9999930821386311,0.0003262934890152302,66
Acidification Potential - AP,SSO_LCI,-1.1500530822199937e-5,4.762237886220847e-7,-24.149425326852736,4.045597083422957e-87,0.9999930821386311,0.0003262934890152302,66
Acidification Potential - AP,AE,-0.0006981243681613204,1.4921491379522843e-6,-467.86500786333926,0.0,0.9999930821386311,0.0003262934890152302,66
Acidification Potential - AP,AH,-0.0001340174717623975,8.993495107883141e-7,-149.01600562936437,0.0,0.9999930821386311,0.0003262934890152302,66
Acidification Potential - AP,CH4,-1.6266388889942706e-5,0.0008414265092900453,-0.01933191872415274,0.9845836939875424,0.9999930821386311,0.0003262934890152302,66
Acidification Potential - AP,ng_LCI,0.00015208724399494016,1.729385469604051e-8,8794.294081224187,0.0,0.9999930821386311,0.0003262934890152302,66
Acidification Potential - AP,building,0.0,NaN,NaN,NaN,0.9999930821386311,0.0003262934890152302,66
Smog Formation Potential - SFP,(Intercept),0.04976232095575369,0.003999204835125339,12.443053808768985,2.5735880385911806e-31,0.9999862965517285,0.00930557941122081,66
Smog Formation Potential - SFP,SSO_LCI,-0.00014446494399858212,1.3581448966935841e-5,-10.63693162270707,4.6999024976025646e-24,0.9999862965517285,0.00930557941122081,66
Smog Formation Potential - SFP,AE,-0.024193939062623633,4.255467251393088e-5,-568.5377805387504,0.0,0.9999862965517285,0.00930557941122081,66
Smog Formation Potential - SFP,AH,-0.0008953061100739784,2.564859164123613e-5,-34.906638251223264,1.0188603604446329e-138,0.9999862965517285,0.00930557941122081,66
Smog Formation Potential - SFP,CH4,0.013915062500436469,0.02399668279574003,0.5798744192637624,0.5622490231643834,0.9999862965517285,0.00930557941122081,66
Smog Formation Potential - SFP,ng_LCI,0.001411516551849207,4.932042678411164e-7,2861.9309358935247,0.0,0.9999862965517285,0.00930557941122081,66
Smog Formation Potential - SFP,building,0.0,NaN,NaN,NaN,0.9999862965517285,0.00930557941122081,66
