Indicator,beta_SSO,SE,CI_low,CI_high,StdCoeff,Elasticity,DeltaY_10pct,RelDeltaY_10pct_pct
Eutrophication Potential - EP,-5.242726019713855e-7,7.157196596155684e-13,-5.242740047819183e-7,-5.242711991608526e-7,-0.0015980253480665345,-0.0038648865403938847,-9.826455534973567e-6,-0.03864886540393885
Cumulative Energy Demand - CED,-0.5779627805290818,2.086224406489401e-9,-0.5779627846180816,-0.577962776440082,-0.015090437039902671,-0.058326228517838544,-10.832772001403734,-0.5832622851783855
Particulate Matter Formation Potentia - PMFP,-3.776021506624844e-8,2.1374150782297856e-13,-3.776063399960377e-8,-3.7759796132893107e-8,-9.211545255636006e-5,-0.0002532943965217272,-7.077407305747038e-7,-0.0025329439652172713
Fossil Depletion Potential - FDP,-0.018228599338067877,3.1290614151620844e-11,-0.018228599399397482,-0.018228599276738273,-0.020824184847068522,-0.0623839924739905,-0.3416591295956164,-0.623839924739905
Water Use,0.0006234794056078578,1.5585192984992356e-12,0.0006234794025531599,0.0006234794086625556,0.4231110908104609,6.990603310979523,0.011685891334279089,69.90603310979523
Global Climate Change Potential - GCCP,-0.09191175554526948,0.0005707789856096414,-0.09303048235706438,-0.09079302873347458,-0.04416199299983241,-0.13342089204227262,-1.7227045159537921,-1.3342089204227263
Acidification Potential - AP,-1.005488022925483e-5,6.597605033693548e-13,-1.0054881522385418e-5,-1.0054878936124243e-5,-0.0021300199888524217,-0.006108522245853226,-0.0001884588916352529,-0.061085222458532255
Smog Formation Potential - SFP,-0.00010214483083673931,3.2829000992498345e-7,-0.00010278827925619227,-0.00010150138241728634,-0.0021063616081934858,-0.012999311918776285,-0.0019145033224517009,-0.12999311918776285
