Indicator,Eutrophication Potential - EP,Cumulative Energy Demand - CED,Particulate Matter Formation Potentia - PMFP,Fossil Depletion Potential - FDP,Water Use,Global Climate Change Potential - GCCP,Acidification Potential - AP,Smog Formation Potential - SFP
Eutrophication Potential - EP,5.123467308499485e-19,1.3243561126009476e-15,9.57891004180288e-20,1.9684205034349735e-17,8.583354762341434e-19,2.287968028567745e-11,4.3261165781976334e-19,1.3164896063473406e-14
Cumulative Energy Demand - CED,1.3243561126009476e-15,4.353114642271952e-12,3.4845763518791054e-16,6.353530789840745e-14,3.0235570603754456e-15,9.278893067523869e-8,1.29402025698689e-15,5.3387732175406665e-11
Particulate Matter Formation Potentia - PMFP,9.57891004180288e-20,3.4845763518791054e-16,4.56936460318381e-20,5.629973187824191e-18,2.9138521622020256e-19,6.53288293887117e-12,1.1311134418664062e-19,3.759454129559765e-15
Fossil Depletion Potential - FDP,1.9684205034349735e-17,6.353530789840745e-14,5.629973187824191e-18,9.792785110217097e-16,4.6838270287039746e-17,1.3175251827990869e-9,2.0043392099282675e-17,7.580959768416054e-13
Water Use,8.583354762341434e-19,3.0235570603754456e-15,2.9138521622020256e-19,4.6838270287039746e-17,2.4294191183711626e-18,6.713682741240131e-11,9.457405840031922e-19,3.8630098354621537e-14
Global Climate Change Potential - GCCP,2.287968028567745e-11,9.278893067523869e-8,6.53288293887117e-12,1.3175251827990869e-9,6.713682741240131e-11,0.3258472248555345,3.0189848333264966e-11,0.00018741472850950308
Acidification Potential - AP,4.3261165781976334e-19,1.29402025698689e-15,1.1311134418664062e-19,2.0043392099282675e-17,9.457405840031922e-19,3.0189848333264966e-11,4.353621817754047e-19,1.7370389445880783e-14
Smog Formation Potential - SFP,1.3164896063473406e-14,5.3387732175406665e-11,3.759454129559765e-15,7.580959768416054e-13,3.8630098354621537e-14,0.00018741472850950308,1.7370389445880783e-14,1.0779370766131565e-7
