Predictor,Eutrophication Potential - EP,Cumulative Energy Demand - CED,Particulate Matter Formation Potentia - PMFP,Fossil Depletion Potential - FDP,Water Use,Global Climate Change Potential - GCCP,Acidification Potential - AP,Smog Formation Potential - SFP
SSO_LCI,-5.242726019713855e-7,-0.5779627805290818,-3.776021506624844e-8,-0.018228599338067877,0.0006234794056078578,-0.09191175554526948,-1.005488022925483e-5,-0.00010214483083673931
AE,-3.759514760943489e-5,-11.710815685402594,-4.747002071741419e-5,-0.12762536455357443,-0.0013975120402651042,-0.35127190180226703,-0.000681120399502747,-0.0236851321544721
AH,-1.0391017275399579e-5,-1.214795508663275,-1.3188018442441015e-5,-0.028625603497305134,-3.7619371748153233e-6,-0.04522701160251667,-0.00015199411514415733,-0.0013943678523927554
ng_LCI,1.038935136294835e-5,1.214432160754498,1.3184252045209217e-5,0.02861700405316169,3.761732331724731e-6,0.06886946648822606,0.00015195389894810072,0.0014076984064423125
steel,0.6881653797838888,15805.694457338584,0.10520483295318535,173.16552768616913,2.3362231711310057,536.8344734756943,1.2208692455951244,34.80160062404563
