partition,N_days,SSO_LCI_mean,SSO_LCI_sd,S_t_mean,S_t_sd
train,529,183.9186909531529,91.2670548737668,756.8387033270325,89.11865154414912
val,66,220.47310323322503,147.0309952843403,719.7440922727274,128.1183294515923
test,66,182.5332750496658,68.92576589720431,772.0515759090908,73.33100562414785
