Indicator,R2,RMSE
Eutrophication Potential - EP,0.9999999999999947,7.307798308926401e-10
Cumulative Energy Demand - CED,1.0,2.10926515913428e-6
Particulate Matter Formation Potentia - PMFP,0.9999999999999997,2.1323637795328008e-10
Fossil Depletion Potential - FDP,1.0,3.1660493926827867e-8
Water Use,0.9999999999999998,1.6132161576162077e-9
Global Climate Change Potential - GCCP,0.999911132754562,0.5861991844289617
Acidification Potential - AP,1.0,6.852721921343614e-10
Smog Formation Potential - SFP,0.9999999777242872,0.00033716194681075663
