Indicator,Eutrophication Potential - EP,Cumulative Energy Demand - CED,Particulate Matter Formation Potentia - PMFP,Fossil Depletion Potential - FDP,Water Use,Global Climate Change Potential - GCCP,Acidification Potential - AP,Smog Formation Potential - SFP
Eutrophication Potential - EP,1.0000000000000002,0.8867939943756253,0.6260459400158492,0.8787852989424905,0.769349818675155,0.05599650911436434,0.9159903181510628,0.05601943766000137
Cumulative Energy Demand - CED,0.8867939943756253,1.0000000000000002,0.7813075589775336,0.9731100866981032,0.9297515139132301,0.07790926445134816,0.9399736344851497,0.0779371850269006
Particulate Matter Formation Potentia - PMFP,0.6260459400158492,0.7813075589775336,1.0,0.8416379458615993,0.874557532266702,0.05353896316688996,0.8019603680528161,0.05356735202728888
Fossil Depletion Potential - FDP,0.8787852989424905,0.9731100866981032,0.8416379458615993,0.9999999999999998,0.9602769705619612,0.07375624518475844,0.9707172778488472,0.0737860691482746
Water Use,0.769349818675155,0.9297515139132301,0.874557532266702,0.9602769705619612,1.0000000000000002,0.07545752892168657,0.9195925690227917,0.07548799429677185
Global Climate Change Potential - GCCP,0.05599650911436434,0.07790926445134816,0.05353896316688996,0.07375624518475844,0.07545752892168657,1.0,0.08015462147093673,0.9999999994869969
Acidification Potential - AP,0.9159903181510628,0.9399736344851497,0.8019603680528161,0.9707172778488472,0.9195925690227917,0.08015462147093673,1.0,0.08018395986776089
Smog Formation Potential - SFP,0.05601943766000137,0.0779371850269006,0.05356735202728888,0.0737860691482746,0.07548799429677185,0.9999999994869969,0.08018395986776089,1.0000000000000002
