index,time,SSO_LCI,AE,AH,CH4,CHP,ferric,ng_LCI,A_SSO_WTE,A_SSO_LF,building,concrete,earth,gravel,steel,elec
2565,2018-01-08,559.7906056468756,157.0442208100398,673.0973995968244,0.9230985290324935,19.17047660673677,0.02111019415040632,16384.531722357096,380.65761183987547,179.13299380700022,0.0009175,0.00018425,0.0011099999999999999,0.09000000000000001,0.012275,16.25
2566,2018-01-09,6.644836203149647,132.00451908963592,783.5524239741635,0.9962002088201878,16.113866095412675,0.000848525404390155,320.0576495392985,4.5184886181417605,2.126347585007887,0.0009930588235294118,0.0001994235294117647,0.0012014117647058823,0.09741176470588235,0.013285882352941175,17.58823529411765
2567,2018-01-10,902.966917718292,198.78801495989325,970.0075370068342,1.2878199966461488,24.266165101980278,0.03368070474775421,33719.0627988002,614.0175040484387,288.94941366985347,0.001172361111111111,0.00023543055555555554,0.001418333333333333,0.115,0.01568472222222222,20.76388888888889
2568,2018-01-11,1062.8823795137894,198.32582781100538,1008.6403147950406,1.3261846884627957,24.20974565604341,0.03953839053919585,42020.716154430476,722.7600180693768,340.1223614444126,0.0012413235294117645,0.00024927941176470587,0.0015017647058823526,0.12176470588235294,0.01660735294117647,21.985294117647058
2573,2018-01-16,338.27674584010407,89.73380527226108,325.2783113385867,0.46744381518163186,10.95385621917377,0.012996165809251524,4458.83743729595,230.0281871712708,108.24855866883331,0.0004137745098039215,8.309313725490196e-5,0.0005005882352941176,0.04058823529411765,0.005535784313725489,7.328431372549019
2574,2018-01-17,361.2925129014125,91.66073843837678,356.31802594867287,0.5018133710713616,11.189078037545867,0.013839230827358192,4712.427430322177,245.67890877296054,115.61360412845201,0.000409757281553398,8.228640776699029e-5,0.0004957281553398058,0.040194174757281556,0.005482038834951456,7.257281553398058
2576,2018-01-19,1223.884556417846,232.0274834478019,1152.8464977601259,1.5240382914934822,28.323725767256782,0.045435882585637986,53036.71035451359,832.2414983641353,391.6430580537107,0.0013614516129032259,0.00027340322580645163,0.0016470967741935483,0.13354838709677422,0.018214516129032257,24.112903225806452
2579,2018-01-22,690.2334665641679,24.95014649844025,485.6045593032798,0.5296835298026294,3.0456784548701212,0.02588830181061092,14826.94458050597,469.3587572636342,220.87470930053374,0.0006699206349206349,0.00013453174603174603,0.0008104761904761905,0.06571428571428573,0.008962698412698412,11.865079365079366
2580,2018-01-23,232.0097764092638,29.929238237826265,352.3457026689635,0.40257071665911404,3.6534789916893256,0.009103618397353148,3462.5839329095043,157.7666479582994,74.24312845096442,0.00045875,9.2125e-5,0.0005549999999999999,0.045000000000000005,0.0061375,8.125
2581,2018-01-24,190.2738092451748,47.60510165721189,410.9173880689724,0.4890829622083127,5.811181608426071,0.007574834506763507,3332.982027954791,129.38619028671886,60.88761895845593,0.0005376433121019108,0.00010796815286624204,0.0006504458598726114,0.05273885350318472,0.007192993630573248,9.522292993630574
2582,2018-01-25,279.8515683485979,88.6399263679813,481.4510787756682,0.6237275751541557,10.820325804384018,0.010856057978452086,5192.874599015513,190.29906647704658,89.55250187155133,0.0005781506849315068,0.00011610273972602742,0.0006994520547945205,0.056712328767123295,0.007734931506849316,10.239726027397262
2583,2018-01-26,400.73304843831687,138.7442742316519,485.76822292238217,0.7053834323713067,16.936591806799644,0.015283933309703642,6623.576717956931,272.4984729380555,128.2345755002614,0.0005210493827160494,0.00010463580246913581,0.0006303703703703703,0.051111111111111114,0.006970987654320987,9.228395061728396
