SSO_LCI,AE,AH,ng_LCI,steel
559.7906056468756,157.0442208100398,673.0973995968244,16384.531722357096,0.012275
6.644836203149647,132.00451908963592,783.5524239741635,320.0576495392985,0.013285882352941175
902.966917718292,198.78801495989325,970.0075370068342,33719.0627988002,0.01568472222222222
1062.8823795137894,198.32582781100538,1008.6403147950406,42020.716154430476,0.01660735294117647
338.27674584010407,89.73380527226108,325.2783113385867,4458.83743729595,0.005535784313725489
361.2925129014125,91.66073843837678,356.31802594867287,4712.427430322177,0.005482038834951456
1223.884556417846,232.0274834478019,1152.8464977601259,53036.71035451359,0.018214516129032257
690.2334665641679,24.95014649844025,485.6045593032798,14826.94458050597,0.008962698412698412
232.0097764092638,29.929238237826265,352.3457026689635,3462.5839329095043,0.0061375
190.2738092451748,47.60510165721189,410.9173880689724,3332.982027954791,0.007192993630573248
279.8515683485979,88.6399263679813,481.4510787756682,5192.874599015513,0.007734931506849316
400.73304843831687,138.7442742316519,485.76822292238217,6623.576717956931,0.006970987654320987
558.7809084642556,105.68486015342872,364.0826856583587,9695.384197140747,0.007285806451612903
558.0751472742037,93.5655915470319,483.93624212916603,10157.851937502757,0.007630405405405405
506.7104019159237,136.5160527618154,506.167449498545,9000.165673920606,0.0074788079470198675
479.8453657022971,170.68563875149175,509.81209112363047,7707.5703607577825,0.006803012048192771
109.28235867008682,147.61701938435823,473.3576407209307,1688.6942837762247,0.006604093567251461
207.16888100526862,104.69670570004503,468.91825594633207,3589.4031158451107,0.007239102564102564
265.61984038717077,123.26163778478944,411.90305419485526,3542.8883930742795,0.0056465
230.88965932790785,179.1244854984948,531.1825063130706,3872.701957759277,0.00714746835443038
88.07789880200814,141.39710149368346,534.4204375099212,1619.0978494847436,0.007734931506849316
72.58595058838625,79.077998922342,478.85224815703293,1426.205680070143,0.007897202797202796
147.1136750840728,94.0167770287735,553.0580694651775,3226.948481602924,0.0090344
223.8611067664925,124.54233677148547,713.7011648131073,6276.851919032607,0.011642268041237113
178.87243224644098,110.40944254688198,542.5092183445406,3798.5330469310434,0.00882265625
239.92467416336467,160.6829898382405,753.5474251832394,6685.698891572191,0.011642268041237113
280.8870521951387,226.97862183129055,812.7603437702633,7836.553600623526,0.011763541666666665
193.6647194488457,223.95559984035472,656.9095456207441,3901.1731714450343,0.0086206106870229
151.05953912522025,215.33980506122012,601.1556780348425,2828.6730297866093,0.00806642857142857
137.42888184803326,235.30850863983585,684.9783068283472,2716.4534110321356,0.00855530303030303
106.50368123928453,164.96243551723927,547.6257197809633,1851.8382834732404,0.0074296052631578945
272.1178320181962,162.4086983953315,533.3704315577753,4776.116988031636,0.0074296052631578945
127.32867316679244,143.00897144803594,516.3034680788322,2179.612888659968,0.007239102564102564
104.58499578351854,105.35550650223892,427.9818644256,1488.7159135135298,0.005975132275132275
98.9115894675514,148.6907339639076,484.09759315617634,1477.5711550513038,0.0064164772727272725
76.27190055881388,156.85168228838495,522.6893616969085,1261.2653819720308,0.00710251572327044
89.08951518241531,130.34500577911007,438.80397235888125,1313.074285869242,0.006273888888888889
131.10470640344553,150.8152712887038,514.0961484646544,2148.616274353457,0.006970987654320987
130.99513756863954,141.94430271078045,504.0670621502085,2155.451762272118,0.006970987654320987
91.91076149909114,95.10899853624464,475.5295347950236,1651.022915977322,0.007381045751633987
210.27568797039157,135.63617012897745,464.36554573220934,3206.0546608986865,0.006453142857142856
162.41153986830147,220.85610003056803,624.9020679283655,2972.425447826618,0.007897202797202796
147.75129064049824,218.64096131247365,623.2597921156843,2659.491880638107,0.007788275862068966
156.5926203417178,209.24855098136143,584.7606853301099,2636.2771873789766,0.007285806451612903
182.38018007212125,181.14369758037122,590.4065340127562,3436.1347248466504,0.008009219858156027
117.34188538562955,156.2228019848392,544.6269104462515,2066.163862260756,0.0074788079470198675
141.2186776186581,172.1873830422394,530.79428157144,2295.1962791194683,0.006970987654320987
146.00752241977435,173.45572335612417,535.5592446951491,2437.5932601519003,0.00714746835443038
174.87101068286384,179.54835932623962,552.0136633023346,3022.7252672496425,0.007381045751633987
159.54321861587593,156.94454120360905,489.68131330187765,2546.7260200714527,0.006803012048192771
157.10347465664222,156.48269055441745,491.07783160579135,2370.9468698708242,0.006453142857142856
166.7976329135713,195.55334730929908,545.8639398770122,2678.117536569396,0.006928220858895705
160.80502250585866,168.89405339287043,529.9728541515714,2588.6310674481188,0.006885975609756097
150.7220752597713,167.08114051722367,521.926908702269,2409.8423270077,0.006844242424242424
141.17897955017318,158.06447614971339,557.4272976918826,2635.4839175058937,0.007897202797202796
150.42976575782163,178.2448999982232,557.8617908583411,2669.9649374329065,0.007579194630872484
177.25946909628405,181.03186083716054,580.8549910079862,3468.0968532360025,0.008303676470588234
230.72182170037135,190.7512536508826,577.5377997983896,3884.2784316977722,0.007192993630573248
239.54185070800986,227.15268434199086,597.8175631272592,3972.7210984268154,0.00714746835443038
140.90120904517804,203.03254178983832,567.3470723396618,2229.8936908991022,0.006885975609756097
171.13031795800416,211.3074908128222,640.5158522171183,3168.8345511250895,0.00795281690140845
169.5945333775186,163.24254533484333,544.1513360222577,2773.626538223454,0.006970987654320987
182.74894407531994,164.5751925355121,549.1033222072435,3175.3993558348243,0.007381045751633987
185.4626090080337,180.44863622208902,576.5135709694259,3298.3148342856402,0.007579194630872484
152.7464266698699,172.4785800467939,561.1923112279438,2641.8443341942548,0.007381045751633987
173.66787407061025,199.77651938907354,562.8910070973906,2715.6056423494947,0.0067622754491017956
168.352325664848,174.16847421744532,508.25010834809535,2465.8312548503477,0.006308938547486034
162.8533412937216,28.23641705286941,385.7214067416418,2645.185505865166,0.006604093567251461
180.8306581897818,26.96962459413488,392.0921957092947,3254.500193048644,0.007333116883116883
174.75696201794702,11.062593892388175,372.4407678892599,3103.57867674062,0.007192993630573248
174.68982526726782,15.566485207658163,371.13671170362954,3098.0406673389916,0.007192993630573248
179.2568795226212,16.078971226215906,404.3195064306798,3258.978326955191,0.007381045751633987
160.44937448431392,23.922902518741893,371.0576016003538,2611.692400062032,0.006604093567251461
167.36374253129375,18.003066050935665,401.58753390823733,2989.6877614048985,0.007239102564102564
117.13618196609383,34.94990053195223,351.0770937551777,1855.4098904897544,0.006380225988700565
108.23262950348325,24.91027921607958,377.32109832605954,1869.3905878766338,0.006885975609756097
121.04756147459025,23.505650524120764,390.2680983232178,2174.0744011326165,0.007192993630573248
146.55307127588864,26.626726828791796,394.2329912651757,2623.5487898613633,0.007239102564102564
111.08882629007203,0.5632283634937958,349.3222566861061,1665.5367396674387,0.005912565445026178
146.31176015279718,34.9032942491792,369.3444559787951,2422.3766393878627,0.006722023809523809
180.69376897086445,42.530025143750684,376.7805186010023,2963.744153535302,0.006722023809523809
164.08947668705528,21.850658085563886,334.26388611354713,2467.0700203394626,0.006104324324324324
150.25898061929541,23.398839993171336,345.9785643804249,2277.51941945101,0.0061375
0.0,24.570848295332993,281.8050997678242,76.66689888057451,0.00559059405940594
0.0,31.17553697078903,300.3750085190196,67.79680867880381,0.005455555555555555
0.0,47.647071510624244,292.4595985178967,50.79741697877718,0.0054033492822966505
40.12507365713721,39.564174615266424,311.7936765420551,579.4229014094319,0.005455555555555555
43.19169544701075,23.547428680526554,333.8626742615003,759.5070702744963,0.00649022988505747
0.06546875687350162,7.348655863900571,348.7267657410835,120.17359193907565,0.007014285714285714
115.53065556344085,5.282580371823949,330.41740619299264,1849.5328576079357,0.006344382022471911
88.39287047214265,20.59884184735026,276.89780813203106,1176.9430749693022,0.005252558139534884
88.7566667367011,60.50343606658648,230.30379106859363,1148.188362844028,0.005277102803738318
90.01860986565895,33.153406079424165,298.2447913557078,1208.0564046238956,0.005352132701421801
79.50831577135922,27.02975945923662,304.3637186911385,1159.107498283846,0.00573248730964467
0.0,40.14442996264574,329.2944630858431,63.515454249258205,0.005703535353535353
0.0,62.55481929657105,377.9918895506811,53.84488251715331,0.006380225988700565
139.15929846436714,64.3243672081008,402.0218324004799,2279.523925822732,0.006722023809523809
147.17977175960166,-1.3310003182232086,284.7956526712335,1907.0160335568498,0.005180275229357798
198.87950170403064,22.66582158727014,285.26966004223675,2494.457213936551,0.005133181818181818
88.70784808547528,21.04451530117441,277.69118549333473,1121.9835409274558,0.004996902654867256
98.36217224619735,2.9782988822428265,260.07662448487645,1254.151613119925,0.004996902654867256
83.62106086262784,4.2306694824076825,248.15879427449053,1014.8945976480072,0.004705416666666667
89.47475769703591,20.19389718586237,239.18552778526092,1157.9670072874746,0.005109954751131221
78.8653012487419,-26.744833382587345,233.3927560898339,1101.735327262831,0.005041517857142857
73.73515899709096,33.86635290294441,298.41261177388617,962.6633488682421,0.0051566210045662095
137.0261081362389,189.33466332420926,464.2942775899608,1653.1995322580685,0.005352132701421801
142.32180313667322,-0.7393142066778762,283.2969293395594,1943.7658815021857,0.005455555555555555
79.48472496434276,184.22965650826757,444.82660359982043,881.6154347252386,0.005133181818181818
137.09117276498355,-84.43848529149615,269.5449243382834,2605.8520935818156,0.006970987654320987
101.3617786213274,65.34335801998076,317.8745298605786,1270.2550439941808,0.0051566210045662095
112.16550498953198,64.21211023799263,361.7924713970227,1559.1590133839202,0.005703535353535353
76.5018717196405,56.67621875622339,326.3425211757237,964.9842153253317,0.005109954751131221
68.75932672832117,62.55336340606517,329.4494428102041,895.6056331731907,0.005277102803738318
86.71488395943608,-109.3089061450085,169.7471796904708,1443.9254813441569,0.005228240740740741
97.48720277540994,-106.74487896408928,165.82297788095457,1565.2410423284957,0.005204147465437788
99.31794836743641,-107.90988140075862,167.6566401642128,1615.5847865933017,0.0053018779342723
99.31794836743641,-111.26826631805037,172.77817716308263,1623.980748886531,0.0053018779342723
136.16462742680247,-113.57707749846469,178.3629813591649,2137.1437662729018,0.005429326923076922
59.49947470473637,63.48333780726453,349.15880770665456,778.6649142975605,0.005277102803738318
63.193333365827755,64.66097509577227,363.20010270132565,827.9675850373781,0.0053018779342723
73.58441220668851,70.1133517425693,369.93199847904214,958.2920429433542,0.00532688679245283
96.70383901487106,83.48326439847554,378.7498803740747,1237.6959700054438,0.00532688679245283
146.10402475917707,96.8375741244666,397.1081485713366,1877.446382160178,0.0054033492822966505
115.2458007547587,115.72450787119288,386.16771736761405,1448.1627854684814,0.005352132701421801
133.7914665929333,103.5699184396397,406.13391906470906,1904.8497039718666,0.005975132275132275
145.5030997669708,98.92508921562478,418.16391398294115,2075.5476490108354,0.005975132275132275
107.50255907178412,97.44579159849197,376.0655035018434,1403.0750561695063,0.005482038834951456
117.57461303848962,105.39255458337551,398.6545712486515,1518.5694529635005,0.005455555555555555
129.2261604423299,131.39136152746002,436.5952220482513,1706.1913647001777,0.0056465
