Indicator,R2_test,RMSE_test
Eutrophication Potential - EP,0.9995086225487678,0.0001839213228975247
Cumulative Energy Demand - CED,0.9999904629103286,4.224281366321876
Particulate Matter Formation Potentia - PMFP,0.9999927866844609,2.811739755978749e-5
Fossil Depletion Potential - FDP,0.9999958306606838,0.04628078250329957
Water Use,0.9999785948747844,0.0006243866011068083
Global Climate Change Potential - GCCP,0.999992079864437,0.15110950195579428
Acidification Potential - AP,0.9999930821386311,0.0003262934890152302
Smog Formation Potential - SFP,0.9999862965517285,0.00930557941122081
