Date,In1_mean,Out1_mean,In2_mean,Out2_mean,In4_mean,Out4_mean,In3_mean,Out3_mean
2021-01-01,25.05474537037036,25.95277777777778,25.02453703703704,24.548495370370375,36.15555555555556,39.36863425925926,36.07013888888888,40.163773148148145
2021-01-02,25.593402777777772,26.571296296296296,25.935648148148147,25.848495370370376,36.15555555555556,39.56828703703702,36.096180555555556,39.525115740740745
2021-01-03,25.373148148148147,26.395486111111097,25.858796296296294,26.53668981481482,36.15555555555556,39.570486111111116,36.07037037037038,40.15127314814816
2021-01-04,24.65092592592592,25.809375000000006,25.449421296296297,26.439467592592596,36.15555555555556,39.42615740740741,36.06643518518519,40.03217592592593
2021-01-05,25.480208333333337,26.508449074074075,25.920138888888882,26.87106481481481,36.15555555555556,39.350347222222226,36.08136574074073,39.46215277777778
2021-01-06,25.90868055555556,26.925115740740747,26.519328703703696,27.30231481481481,36.15555555555556,39.51458333333333,36.103125,39.340624999999996
2021-01-07,26.173842592592596,27.247916666666665,26.760879629629624,27.642013888888894,36.15555555555556,39.162268518518516,36.02280092592593,40.42835648148148
2021-01-08,26.868518518518524,27.77858796296296,27.42465277777777,27.730092592592595,36.15555555555556,39.31597222222223,36.096643518518505,40.230787037037054
2021-01-09,26.75277777777778,27.73414351851852,27.496759259259253,27.940972222222218,36.15555555555556,39.5204861111111,36.1263888888889,39.26307870370369
2021-01-10,26.60601851851852,27.507060185185182,27.262268518518525,27.334606481481487,36.15555555555556,39.165393518518506,36.095833333333324,38.75057870370371
2021-01-11,26.121875000000006,27.230787037037057,26.956828703703703,27.519444444444442,36.15555555555556,39.18819444444445,36.08310185185184,39.66192129629629
2021-01-12,26.36319444444445,27.248611111111103,27.075347222222224,27.731481481481485,36.15555555555556,39.34502314814815,36.1105324074074,39.47094907407408
2021-01-13,26.79039351851851,27.67488425925927,27.392824074074067,28.07187500000001,36.15555555555556,39.386458333333316,36.10474537037036,39.616435185185175
2021-01-14,22.95034722222222,24.9994212962963,23.90798611111111,25.578819444444445,36.15555555555556,39.28819444444444,36.104050925925925,39.53912037037038
2021-01-15,25.566087962962968,26.655092592592585,25.89733796296297,26.59039351851852,36.15555555555556,39.2306712962963,36.10497685185185,39.67777777777777
2021-01-16,26.611226851851853,27.667939814814815,27.262152777777768,26.96307870370371,36.15555555555556,39.49224537037036,36.106018518518496,39.73414351851852
2021-01-17,27.02870370370371,28.022800925925925,27.66122685185185,27.582638888888884,36.15555555555556,39.580555555555556,36.09652777777778,39.86562499999999
2021-01-18,27.529282407407408,28.388773148148143,28.101157407407413,28.150115740740755,36.15555555555556,39.205555555555556,36.10960648148147,39.787962962962965
2021-01-19,27.343981481481503,28.229050925925936,28.004050925925927,28.223032407407413,36.106018518518496,39.30740740740742,36.097106481481475,39.913773148148145
2021-01-20,25.00358796296297,26.445949074074075,26.028935185185176,26.488310185185185,36.08333333333331,39.215856481481474,36.11041666666666,39.91018518518519
2021-01-21,24.36226851851852,26.233333333333338,25.118865740740734,26.234837962962967,36.08333333333331,39.1912037037037,36.0787037037037,39.95034722222223
2021-01-22,25.837152777777785,26.83252314814814,26.368055555555557,27.097685185185195,36.08333333333331,39.255092592592575,36.10532407407407,39.638657407407386
2021-01-23,26.28472222222223,27.28090277777778,26.99953703703704,28.40798611111111,36.08333333333331,38.828125,36.10358796296297,39.514583333333334
2021-01-24,25.251041666666662,26.237268518518515,25.876273148148147,26.651967592592587,36.08333333333331,39.351851851851855,36.168634259259264,39.108333333333334
2021-01-25,25.158796296296302,26.057407407407407,25.5494212962963,26.56493055555556,36.08333333333331,39.60567129629629,36.144675925925924,38.36087962962963
2021-01-26,26.18171296296296,27.25219907407408,26.697222222222226,27.30127314814815,36.08333333333331,39.40416666666666,36.11099537037037,39.46932870370371
2021-01-27,26.90486111111112,27.897106481481487,27.42939814814814,27.186689814814816,36.08333333333331,39.1298611111111,36.124768518518515,39.06875
2021-01-28,26.428703703703704,27.86932870370371,27.049537037037037,27.925115740740736,36.08333333333331,39.639467592592595,35.74386574074073,40.23148148148148
2021-01-29,25.636342592592587,26.831597222222218,26.213888888888885,26.331250000000008,36.08333333333331,39.59513888888888,36.04849537037037,40.711226851851855
2021-01-30,24.510532407407414,25.686574074074073,25.14629629629629,25.77754629629629,36.08333333333331,39.71585648148149,36.101736111111116,40.32291666666667
2021-01-31,24.206481481481475,25.25462962962963,24.860879629629625,24.743865740740745,36.08333333333331,39.44803240740742,36.11805555555556,40.17349537037038
2021-02-01,23.955324074074074,25.038310185185185,24.691666666666677,24.42430555555555,36.08333333333331,39.625925925925934,36.1068287037037,39.71608796296297
