index,date,S_t,partition,SSO_LCI,AE,AH,CH4,ng_LCI,building,Eutrophication Potential - EP_FU,Cumulative Energy Demand - CED_FU,Particulate Matter Formation Potentia - PMFP_FU,Fossil Depletion Potential - FDP_FU,Water Use_FU,Global Climate Change Potential - GCCP_FU,Acidification Potential - AP_FU,Smog Formation Potential - SFP_FU
2565,2018-01-08,348.25772,train,559.7906056468756,157.0442208100398,673.0973995968244,0.9230985290324935,16384.531722357096,0.0009175,0.16548402415549404,17111.596188536078,0.2009566634007986,421.4871034332633,0.21733224091246645,998.2753024769137,2.2897821544585466,18.77656652265081
2566,2018-01-09,321.75985000000003,train,6.644836203149647,132.00451908963592,783.5524239741635,0.9962002088201878,320.0576495392985,0.0009930588235294118,-0.0006361585880276029,-1902.8873478110982,-0.01098222334176058,-27.938034386320926,-0.15103360379884542,-51.988844516107214,-0.1442148096544972,-3.306113013617633
2567,2018-01-10,272.54952000000003,train,902.966917718292,198.78801495989325,970.0075370068342,1.2878199966461488,33719.0627988002,0.001172361111111111,0.34309052947082597,37169.21912748986,0.423948015476996,898.0574734951684,0.44501492658236896,2134.555555330408,4.8509828218773405,41.85941076756109
2568,2018-01-11,257.40788000000003,val,1062.8823795137894,198.32582781100538,1008.6403147950406,1.3261846884627957,42020.716154430476,0.0012413235294117645,0.4295063480560376,47131.65324558045,0.5330025826401521,1131.8237543843695,0.5786035706099407,2690.5053759614834,6.106412747726598,53.518492193572534
2573,2018-01-16,772.22364,train,338.27674584010407,89.73380527226108,325.2783113385867,0.46744381518163186,4458.83743729595,0.0004137745098039215,0.04320697237145379,3860.9472236532265,0.050806941515640115,101.62739686589869,0.11399291635975703,232.62290848694994,0.5703389546170167,3.8558598741804424
2574,2018-01-17,779.7944600000001,train,361.2925129014125,91.66073843837678,356.31802594867287,0.5018133710713616,4712.427430322177,0.000409757281553398,0.04539757846165786,4094.490460778937,0.053642988600038057,107.3210745499633,0.12636146723983407,245.86855669137518,0.6025455785852202,4.119699750568389
2576,2018-01-19,234.69542,train,1223.884556417846,232.0274834478019,1152.8464977601259,1.5240382914934822,53036.71035451359,0.0013614516129032259,0.5422115005485167,59872.325052577085,0.6749016169710617,1435.9827910813779,0.6765380638214034,3417.0422609519783,7.735805919734322,68.06596735839457
2579,2018-01-22,476.96166,val,690.2334665641679,24.95014649844025,485.6045593032798,0.5296835298026294,14826.94458050597,0.0006699206349206349,0.15386824156340637,16866.962738880273,0.18881081349937684,396.1879088262602,0.4703715697963394,931.8198854172655,2.1662150168676972,19.845284016613725
2580,2018-01-23,696.51544,val,232.0097764092638,29.929238237826265,352.3457026689635,0.40257071665911404,3462.5839329095043,0.00045875,0.03529344170164066,3389.472732518895,0.04022135913073745,82.01665998952191,0.1288715298136445,194.29697619132793,0.4573774949856155,3.864204737405952
2581,2018-01-24,594.3093700000001,train,190.2738092451748,47.60510165721189,410.9173880689724,0.4890829622083127,3332.982027954791,0.0005376433121019108,0.033422050836982846,2994.733257286822,0.0370137558652039,75.31886672853427,0.07990577989960952,181.06460634920137,0.4184503073848376,3.222520185188667
2582,2018-01-25,552.66986,val,279.8515683485979,88.6399263679813,481.4510787756682,0.6237275751541557,5192.874599015513,0.0005781506849315068,0.05079548088026654,4644.004425718535,0.05871055666309723,119.74823393078158,0.0864061691784975,283.49600625763435,0.6621588146503977,4.780069001953974
2583,2018-01-26,613.2364200000001,train,400.73304843831687,138.7442742316519,485.76822292238217,0.7053834323713067,6623.576717956931,0.0005210493827160494,0.06314191377926406,5707.5482016893,0.07505297002124509,151.836686942258,0.09533278777604395,352.35821627670316,0.8426281817971464,5.562181136942173
2586,2018-01-29,586.73855,train,558.7809084642556,105.68486015342872,364.0826856583587,0.5313005023405006,9695.384197140747,0.0005445806451612903,0.09769709736242373,9886.655891974928,0.11875372850716982,244.6186803407253,0.2528218779556206,566.3618864460374,1.3492094313601324,10.833685345959234
2587,2018-01-30,560.24068,val,558.0751472742037,93.5655915470319,483.93624212916603,0.6338394935073918,10157.851937502757,0.0005703378378378378,0.10194957421788606,10450.4750788978,0.1238819712233604,256.0415049561995,0.27141253411058175,597.550955257104,1.4099486606199167,11.616837053037987
2588,2018-01-31,571.59691,val,506.7104019159237,136.5160527618154,506.167449498545,0.722580394007606,9000.165673920606,0.0005590066225165563,0.0879988356349717,8541.843148987005,0.10627268926195185,217.70409834701488,0.17457118193860502,506.34079431359856,1.2017316562875588,8.93883291058515
2589,2018-02-01,628.37806,train,479.8453657022971,170.68563875149175,509.81209112363047,0.7789756665442961,7707.5703607577825,0.0005084939759036145,0.07279615541825603,6572.338189983379,0.08749060852334414,176.62134467165882,0.10361406540588944,407.1620960229603,0.9809342617571573,6.284024937754556
