index,time,Eutrophication Potential - EP,Cumulative Energy Demand - CED,Particulate Matter Formation Potentia - PMFP,Fossil Depletion Potential - FDP,Water Use,Global Climate Change Potential - GCCP,Acidification Potential - AP,Smog Formation Potential - SFP
2565,2018-01-08,0.16548402415549404,17111.596188536078,0.2009566634007986,421.4871034332633,0.21733224091246645,998.2753024769137,2.2897821544585466,18.77656652265081
2566,2018-01-09,-0.0006361585880276029,-1902.8873478110982,-0.01098222334176058,-27.938034386320926,-0.15103360379884542,-51.988844516107214,-0.1442148096544972,-3.306113013617633
2567,2018-01-10,0.34309052947082597,37169.21912748986,0.423948015476996,898.0574734951684,0.44501492658236896,2134.555555330408,4.8509828218773405,41.85941076756109
2568,2018-01-11,0.4295063480560376,47131.65324558045,0.5330025826401521,1131.8237543843695,0.5786035706099407,2690.5053759614834,6.106412747726598,53.518492193572534
2573,2018-01-16,0.04320697237145379,3860.9472236532265,0.050806941515640115,101.62739686589869,0.11399291635975703,232.62290848694994,0.5703389546170167,3.8558598741804424
2574,2018-01-17,0.04539757846165786,4094.490460778937,0.053642988600038057,107.3210745499633,0.12636146723983407,245.86855669137518,0.6025455785852202,4.119699750568389
2576,2018-01-19,0.5422115005485167,59872.325052577085,0.6749016169710617,1435.9827910813779,0.6765380638214034,3417.0422609519783,7.735805919734322,68.06596735839457
2579,2018-01-22,0.15386824156340637,16866.962738880273,0.18881081349937684,396.1879088262602,0.4703715697963394,931.8198854172655,2.1662150168676972,19.845284016613725
2580,2018-01-23,0.03529344170164066,3389.472732518895,0.04022135913073745,82.01665998952191,0.1288715298136445,194.29697619132793,0.4573774949856155,3.864204737405952
2581,2018-01-24,0.033422050836982846,2994.733257286822,0.0370137558652039,75.31886672853427,0.07990577989960952,181.06460634920137,0.4184503073848376,3.222520185188667
2582,2018-01-25,0.05079548088026654,4644.004425718535,0.05871055666309723,119.74823393078158,0.0864061691784975,283.49600625763435,0.6621588146503977,4.780069001953974
2583,2018-01-26,0.06314191377926406,5707.5482016893,0.07505297002124509,151.836686942258,0.09533278777604395,352.35821627670316,0.8426281817971464,5.562181136942173
2586,2018-01-29,0.09769709736242373,9886.655891974928,0.11875372850716982,244.6186803407253,0.2528218779556206,566.3618864460374,1.3492094313601324,10.833685345959234
2587,2018-01-30,0.10194957421788606,10450.4750788978,0.1238819712233604,256.0415049561995,0.27141253411058175,597.550955257104,1.4099486606199167,11.616837053037987
2588,2018-01-31,0.0879988356349717,8541.843148987005,0.10627268926195185,217.70409834701488,0.17457118193860502,506.34079431359856,1.2017316562875588,8.93883291058515
2589,2018-02-01,0.07279615541825603,6572.338189983379,0.08749060852334414,176.62134467165882,0.10361406540588944,407.1620960229603,0.9809342617571573,6.284024937754556
2590,2018-02-02,0.01156738831801055,-211.71386425627168,0.009705123921160876,15.08721382715886,-0.11815464847459184,36.89630672656323,0.09107905487012712,-1.5602803366756148
2593,2018-02-05,0.033359918271668294,2558.054891238338,0.03692363301930774,73.41023443452724,0.011507419395641358,174.4203012250628,0.40959886044819355,2.1502096272322846
2595,2018-02-07,0.031644536814214225,2294.462559575934,0.036011254459123676,70.00059777587485,0.018324509465113242,160.7425235398175,0.39601971148083315,1.6629476060673352
2597,2018-02-09,0.0327826004518576,1939.6957025396528,0.036293949900861606,69.78790979216235,-0.0770995001861888,162.58300499022235,0.39213876187688246,0.6936549727627449
2601,2018-02-13,0.01123298034792419,-267.443444781323,0.008397279685060367,12.723782013645284,-0.12053241084832689,34.27009262516542,0.07705274541180927,-1.5544467287943493
2602,2018-02-14,0.012269054074172161,307.13219275895153,0.0095629207773275,17.058453481773714,-0.04323708789742256,47.02301600064992,0.09898876050268675,-0.2651620560290863
2603,2018-02-15,0.030388410095613896,2203.821927703078,0.03173342017339179,63.397951399329166,-0.00849620922244379,156.21094494631933,0.3518036962789245,1.8444157858054457
2604,2018-02-16,0.061012479373146855,5351.957043910389,0.06864796528450728,141.23530390380014,0.013655552158699333,342.7937615594461,0.7724522092184675,5.273784555388394
2608,2018-02-20,0.03565776809778024,2697.1136863458237,0.03860681807421989,77.34925222753895,-0.009909070597555122,187.14546171344503,0.42851834361572483,2.2648010908234646
2609,2018-02-21,0.06347895696111884,5367.54822828416,0.07179660958866707,146.88937578333633,-0.02544806797030813,354.9156871126788,0.8037440507587,4.936085178150587
2610,2018-02-22,0.07238989303434357,5895.117762827433,0.08305302337216308,168.94169346555043,-0.08816804282438512,404.3660403050849,0.9242017742338341,4.903310409470054
2611,2018-02-23,0.03111981547415267,1341.3291656159606,0.033039484725927645,62.21572690620379,-0.15988479368302372,147.5068559281818,0.3489927232879729,-0.448230325711898
2614,2018-02-26,0.02052145243311777,223.343006203386,0.01998695277211214,34.90023552916084,-0.17952698218842417,82.78257584996996,0.200116603211818,-1.6911302207195482
2615,2018-02-27,0.018077408673640945,-233.01225198281787,0.01650599880538707,27.0739838816225,-0.21552727273649935,65.87750532205582,0.15745666441392067,-2.4204712609439687
2616,2018-02-28,0.012408069623244311,-292.28228715831193,0.010140172161696161,15.609824254386748,-0.1418646337023056,39.48088203189033,0.09380257479888279,-1.815936516640054
2618,2018-03-02,0.04294673770627997,3210.560611578435,0.04899757115249235,97.00899368850568,-0.02398476063138813,226.9420975412824,0.5403990185909272,2.3638670047178714
2622,2018-03-06,0.016822234258775205,385.87374250005786,0.015896017079449525,28.275589776112163,-0.09729467172294544,69.14406793769238,0.16288098319609323,-0.7996531207859704
2625,2018-03-09,0.011119704111508292,88.23877863160055,0.009607137587555567,16.0336938846555,-0.06407334424344,40.151938546360334,0.0956529427663304,-0.7989376227294274
2628,2018-03-12,0.009098315905294781,-490.70098860900606,0.0067096691146899205,8.757587492359857,-0.12739404392108666,22.368865017416944,0.056509555724539536,-1.9033413798733554
2629,2018-03-13,0.006627197488173278,-871.9139310505484,0.003034519602890113,0.9527956953272885,-0.1522705704926887,5.40425591423898,0.013281943149801637,-2.4286963984920487
2630,2018-03-14,0.008456682771004427,-417.18226365538635,0.005994475703867693,7.842468651085867,-0.10866104941736501,20.34999356762038,0.05081830617055268,-1.641190680489754
2631,2018-03-15,0.016043168377718655,253.07360531680814,0.015117544596700517,26.34020338630725,-0.10658446905676021,63.833903999316924,0.152824094164402,-1.0348432298135566
2632,2018-03-16,0.01655196115536606,377.50773895409435,0.01576103881990629,27.95706115175955,-0.09419205363752366,67.8946778649365,0.16143043577578345,-0.8011095319010868
2636,2018-03-20,0.013671264661665954,377.1305665633565,0.011754763999301514,21.09955687192298,-0.05393963848965077,54.873920152887386,0.12191213865606378,-0.3437437935967123
2639,2018-03-23,0.02771881094548363,1721.4901872917656,0.030378010690761605,58.428879934382465,-0.033054928342211395,136.5127926665762,0.3299752605289462,0.8563648128694215
2642,2018-03-26,0.021438406162643378,295.23748152840847,0.02128896303278738,37.39399006775945,-0.18010225275937053,88.53641594763752,0.2142730265213201,-1.6595846285481144
2643,2018-03-27,0.018220300443105318,-50.11158165981348,0.017279072864969488,29.01686138315765,-0.18757240478618648,69.14646752701904,0.16849436568037285,-2.0476266333019892
2644,2018-03-28,0.01838185337634114,65.40524800064364,0.017873394101663952,30.405121057086788,-0.17005038024811603,71.43943200018758,0.17651345724847445,-1.822591482509926
